id,handle,nexternal_id,internal_memo,author,price,related_ids
11142500042,saxon-math-1-kit,114,"  Jan. web special 2004 (3rd week only) Jan. 2004 week web special- 2nd week June 2006 Web Special  
 November 08 Web special (got 55% off)    
  $72.50 our regular selling price June 2010     
",,114.48,"11142390282,11142500298,11142500234"
11142500618,saxon-math-2-kit,115,,,114.48,"11142390282,11142595274,11142501322"
11142501386,saxon-math-3-kit,116,"  Jan. web special 2004 (3rd week only) Jan. 2004 week web special- 2nd week June 2006 Web Special    
 At cost 9-2009 for $62.00   
",,117.99,"11142390282,11142501706,11142250186"
11142502282,saxon-math-54-kit-3rd-edition,117,,,94.32,"11142501962,11142501834,11142076874"
11142502474,saxon-math-65-3rd-edition-kit,118,"  June 2006 Web Special  
 Nov. 2008 web special/got 55% off from Saxon  
  $58.87 is our regular selling price June 2010    
",,94.32,"11142503178,11142503114,11142550154"
11142503242,saxon-math-76-4th-edition-kit,119," Old data from V-Cart System: Web Special $63.37 Clearance $63.37 Old Promo Pages: Notes from V-Cart system: June 2006 Web Special  
 Nov 08 web special (got 55% from Saxon)    
  $65.87  is our regular selling price June 2010    
",,104.94,"11142556490,11142322698,11142167946"
11142503818,saxon-math-87-3rd-edition-kit,120,"  June 2006 Web Special  Nov. 08 Web Special (got 55% off from Saxon)  
  $65.87 is our regular selling price June 2010    
  $71.87 is our regular Selling price Nov. 2011  -  Cyber sale Nov. 2011 price is $52.00     
",,104.94,"11142474122,11142504202,11142541322"
11142504650,saxon-math-algebra-1-kit-3rd-edition,121," Old data from V-Cart System: Web Special $49.95 Clearance $49.95 Old Promo Pages: Notes from V-Cart system: Jan. web special 2004 (3rd week only) June 2005 June 2006 Web Special  
 Nov. 08 web special (got 55% off from Saxon)    
  $49.95 s our regular selling price June 2010    
",,81.9,"11142508810,11142504394,11142471242"
11142505802,saxon-math-algebra-1-2-kit-3rd-edition,122," Old data from V-Cart System: Web Special $48.47 Clearance $48.47 Jan. web special 2004 (3rd week only) Jan. 2004 week web special- 2nd week June 2005 monthly special -- all of Saxon plus Phonics (got a special purchase) June 2006 Web Special  
 Nov. web special 2008/Saxon gave us 55% off.  
",,81.9,"11142474698,11142166026,11142495690"
11142506826,saxon-math-kindergarten-kit,123," Old data from V-Cart System: Web Special $47.94 Clearance $47.94 Old Promo Pages: Notes from V-Cart system: Jan. web special 2004 (3rd week only) Jan. 2004 week web special- 2nd week June 2006 Web Special -  Dec 08 special @ $36.94.   
    
",,75.33,"11142390282,11142506954,11142091338"
11142538314,spiritual-lives-of-the-great-composers,126,Old data from V-Cart System: Web Special $6.5 Clearance $8.97 Old Promo Pages: Notes from V-Cart system: ,,13.97,"11141914506,11142234250,11142238730"
11142552138,streams-of-civilization-volume-i-text,127,Old data from V-Cart System: Web Special $14.27 Clearance $15.95 Old Promo Pages: Notes from V-Cart system: web specail 9-06,,24.47,"11142552522,11142552330,11142550794"
11142552330,streams-of-civilization-volume-ii-text,128,Old data from V-Cart System: Web Special $15.95 Clearance $15.95 Old Promo Pages: Notes from V-Cart system: ,,23.47,"11142552138,11142552842,11142551690"
11142568522,test-ready-language-arts-3,133," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142478922,11142553354,11142703306"
11142568842,test-ready-language-arts-6,135," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142571402,11142201034,11142569354"
11142568970,test-ready-math-3,140," Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142189258,11142446858,11142681290"
11142569098,test-ready-math-4,141," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142575306,11142030794,11142032074"
11142569226,test-ready-math-5,142," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142581642,11142150026,11142567626"
11142569354,test-ready-math-6,143," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142259722,11142572554,11142669258"
11142569546,test-ready-math-8,145," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142599562,11141926794,11142557066"
11142569674,test-ready-reading-vocabulary-3,148," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142415754,11141937674,11142339338"
11142569994,test-ready-reading-vocabulary-5,150," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142170762,11142335370,11142201738"
11142570250,test-ready-reading-vocabulary-7,152," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142337226,11142337162,11142650506"
11142570634,test-ready-science-1,154," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11141914634,11142206986,11142671946"
11142570954,test-ready-science-2,155," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142207114,11142650890,11142528138"
11142571210,test-ready-science-5,158," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142311306,11142614218,11142455946"
11142571402,test-ready-science-6,159," 2 day sale at $8.00 Feb. 9 and 10, 2010  Reg price 9.67 - LKR  
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142572554,11142569354,11142568842"
11142571594,test-ready-science-7,160," Feb 9 and 10, 2010,  2 day web special $8.00, reg price $9.67 - LKR   
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142227338,11142463050,11142319114"
11142571786,test-ready-science-8,161," Feb 9 and 10, 2010,  2 day web special $8.00, reg price $9.67 - LKR   
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11141933770,11142585290,11142264138"
11142572426,test-ready-social-studies-5,164," Feb 9 and 10, 2010,  2 day web special $8.00, reg price $9.67 - LKR   
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142028810,11141976714,11142201418"
11142572554,test-ready-social-studies-6,165," Feb 9 and 10, 2010,  2 day web special $8.00, reg price $9.67 - LKR   
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11142187146,11142568842,11142569354"
11142572682,test-ready-social-studies-8,167," Feb 9 and 10, 2010,  2 day web special $8.00, reg price $9.67 - LKR   
 Cost went up to $7.40 Feb. 2011 (from $6.27).  
",,10.5,"11141983306,11142129738,11142601290"
11142546442,story-of-the-world-activity-book-volume-4,170,Old data from V-Cart System: Web Special $25.5 Clearance $25.5 Old Promo Pages: Notes from V-Cart system: ,,29.5,"11142548234,11142547274,11142447818"
11142621834,the-unofficial-lego-builders-guide,171, Web Special $12.8 Clearance $21.97  This is an IPS title! Nov. 11 -- Cyber sale price of 18.00 plus free shipping.  Reg price is now $22.47.     ,,22.47,"11142532490,11142220554,11141936586"
11142676490,whatever-happened-to-penny-candy,173,new edition 04-2016,,12.47,"11142187914,11142676810,11142582090"
11141913994,100-top-picks-for-homeschool-curriculum,177,Old data from V-Cart System: Web Special $15.97 Clearance $17.95 Old Promo Pages: Notes from V-Cart system: ,,17.95,"11142516106,11142705994,11141917706"
11141914506,101-hymn-stories,178,Old data from V-Cart System: Web Special $10.95 Clearance $10.95 Old Promo Pages: Notes from V-Cart system: ,"Osbeck, Kenneth",13.47,"11141914634,11142232906,11142238730"
11141914634,101-more-hymn-stories,179,Old data from V-Cart System: Web Special $11.95 Clearance $11.95 Old Promo Pages: Notes from V-Cart system: ,"Osbeck, Kenneth",13.47,"11141914506,11142254922,11142538314"
11141915018,123s-for-preschoolers,182,Old data from V-Cart System: Web Special $10.95 Clearance $10.95 Old Promo Pages: Notes from V-Cart system: ,,10.95,"11142406858,11142281866"
